department,total_items,organic_items,users,organic_penetration_pct
canned goods,206971,111170,44474,53.712838996767665
produce,1931021,952353,69209,49.31862470682608
missing,17242,7734,8333,44.85558519893284
babies,65324,27086,9108,41.464086706264155
bulk,7470,2845,3606,38.08567603748327
dairy eggs,1087258,317271,66741,29.180838402660637
dry goods pasta,168841,46750,40408,27.688772276875877
pantry,363596,87296,58494,24.009065006215693
breakfast,136839,28954,33750,21.159172458144244
bakery,219445,42529,44863,19.380254733532322
frozen,459123,85148,54916,18.54579273963622
meat seafood,140282,25049,36435,17.856175418086426
snacks,592514,103818,57613,17.521611303699153
international,55684,9126,21812,16.388908842755548
deli,227549,36294,45232,15.949971214991058
beverages,550448,72705,55473,13.208332122198646
other,6762,464,4015,6.861875184856552
personal care,77330,4540,24785,5.870942713047976
pets,13860,386,2913,2.784992784992785
alcohol,19644,165,2865,0.8399511301160659
household,125630,43,28567,0.03422749343309719
